Main Effects
Parameter0:	    2.3676[5.1275]
Parameter1:	    1.7657[3.9275]
Parameter2:	    0.6852[3.0224]
Parameter3:	    1.8605[4.3888]
Parameter4:	    0.2108[2.3468]
Parameter5:	    0.7775[3.0288]
Parameter6:	    0.5229[2.9380]
Parameter7:	    0.6494[2.8286]
Parameter8:	    0.8358[3.2219]
Parameter9:	    0.1987[2.2668]
Parameter10:	    1.9105[4.3287]
Parameter11:	    2.2326[4.5814]
Parameter12:	    0.3513[2.4833]
Parameter13:	    0.1438[2.2230]
Parameter14:	    1.0439[3.6577]
Parameter15:	    0.6050[2.6960]
Parameter16:	    0.2109[2.2972]
Parameter17:	    1.1138[3.7384]
Parameter18:	    0.5809[2.8927]
Parameter19:	    0.5165[2.8339]
Parameter20:	    0.0823[2.0346]
Parameter21:	    0.4363[2.7169]
Parameter22:	    1.1341[3.6788]
Parameter23:	    0.1682[2.2270]
Parameter24:	    1.3805[4.0474]
Parameter25:	    1.2092[3.6804]
Parameter26:	    1.8079[3.9960]
Parameter27:	    0.6887[3.0294]
Parameter28:	    1.0134[3.3128]
Parameter29:	    2.7139[4.8158]
Parameter30:	    0.4330[2.4462]
Parameter31:	    0.5168[2.6400]
Parameter32:	    0.5039[2.8398]
Parameter33:	    0.9071[3.1658]
Parameter34:	    0.2198[2.1566]
Parameter35:	    0.8921[3.2982]
Parameter36:	    0.1534[2.0181]
Parameter37:	    0.0137[1.9905]
Parameter38:	    0.2362[2.4792]
Parameter39:	    2.7173[5.1017]
Parameter40:	   43.8372[20.9235]
Parameter41:	    1.1030[3.2695]
Parameter42:	    1.4676[3.9838]
Parameter43:	  197.4542[39.8208]
Parameter44:	    1.1797[3.6374]
Parameter45:	    0.7903[3.2388]
Parameter46:	 6252.1055[261.5003]
Parameter47:	  417.5440[53.9572]
Parameter48:	    0.6578[3.2302]
Parameter49:	    1.4918[3.8741]
Parameter50:	    0.9143[3.1274]
Parameter51:	    2.4029[4.9639]
Parameter52:	    0.0819[2.0081]
Parameter53:	    0.0938[2.1675]
Parameter54:	    0.1926[2.3284]
Parameter55:	    0.1009[2.1822]
Parameter56:	    0.6329[2.9185]
Parameter57:	    2.2950[4.6150]
Parameter58:	    1.9532[4.2729]
Parameter59:	    0.0717[2.1359]
Parameter60:	    1.6113[4.0101]
Parameter61:	    0.6812[2.8555]
Parameter62:	    0.3434[2.6919]
Parameter63:	    1.1678[3.5389]
Parameter64:	    1.3599[3.6225]
Parameter65:	    0.4495[2.5098]
Parameter66:	    0.2208[2.3642]
Parameter67:	    1.5761[3.7467]
Parameter68:	    0.3797[2.6740]
Parameter69:	    0.0767[1.9325]
Parameter70:	    2.7003[5.2777]
Parameter71:	    1.5038[3.8099]
Parameter72:	    3.5942[5.8579]
Parameter73:	    1.0724[3.3841]
Parameter74:	    0.1469[2.4336]
Parameter75:	    0.3490[2.4093]
Parameter76:	    4.2975[6.5613]
Parameter77:	    0.1692[2.4449]
Parameter78:	    3.3576[5.7284]
Parameter79:	    0.3499[2.5419]
Parameter80:	    0.4188[2.9308]
Parameter81:	    1.3659[3.8771]
Parameter82:	    0.5952[2.9927]
Parameter83:	    0.3227[2.4544]
Parameter84:	    0.8406[3.3128]
Parameter85:	    0.3849[2.5693]
Parameter86:	    0.8011[2.9344]
Parameter87:	    0.8986[3.5315]
Parameter88:	    0.8122[3.3204]
Parameter89:	    0.2097[2.1159]
Parameter90:	   65.3908[22.3796]
Parameter91:	    1.1272[3.4378]
Parameter92:	    4.6761[6.5578]
Parameter93:	    1.1836[3.6955]
Parameter94:	    0.2430[2.5613]
Parameter95:	    1.5767[3.5821]
Parameter96:	    2.1673[4.4152]
Parameter97:	    0.4944[2.7596]
Parameter98:	    0.9577[3.3431]
Parameter99:	    0.7447[3.1887]
Parameter100:	    5.2535[6.5585]
Parameter101:	    0.4623[2.6364]
Parameter102:	    0.6754[2.9367]
