Main Effects
Parameter0:	    0.4499[2.6419]
Parameter1:	    0.5312[2.7427]
Parameter2:	    0.2643[2.2691]
Parameter3:	    0.3218[2.5193]
Parameter4:	    0.2159[2.4784]
Parameter5:	    3.9541[5.9700]
Parameter6:	    0.3002[2.2606]
Parameter7:	    0.0449[2.1263]
Parameter8:	    5.1543[6.3927]
Parameter9:	    1.7729[4.2378]
Parameter10:	    0.4285[2.7064]
Parameter11:	    0.0252[1.8910]
Parameter12:	    0.0684[1.9238]
Parameter13:	    2.4490[4.5738]
Parameter14:	    0.7919[3.2888]
Parameter15:	    0.0441[2.0587]
Parameter16:	    1.0144[3.5944]
Parameter17:	    0.1288[2.3380]
Parameter18:	    0.2627[2.5529]
Parameter19:	    1.7036[4.1929]
Parameter20:	    0.2066[2.3000]
Parameter21:	    0.7829[2.9466]
Parameter22:	    0.9706[3.1723]
Parameter23:	    0.8649[3.4033]
Parameter24:	    3.3940[5.5597]
Parameter25:	    0.4536[2.8531]
Parameter26:	    1.6611[4.1067]
Parameter27:	    1.0965[3.4633]
Parameter28:	    0.9637[3.1934]
Parameter29:	    5.1152[6.9513]
Parameter30:	    0.5521[2.6676]
Parameter31:	    0.9978[3.3699]
Parameter32:	    0.3726[2.6806]
Parameter33:	    0.7330[3.1142]
Parameter34:	    0.2827[2.2187]
Parameter35:	    0.7964[3.1627]
Parameter36:	    0.3673[2.7489]
Parameter37:	    0.2891[2.3067]
Parameter38:	    0.6994[3.0743]
Parameter39:	  300.1816[47.9770]
Parameter40:	   78.6823[24.5054]
Parameter41:	    3.7374[5.4589]
Parameter42:	    1.5821[4.0132]
Parameter43:	 2372.4646[152.2285]
Parameter44:	    0.3672[2.4310]
Parameter45:	    1.2716[3.7096]
Parameter46:	  414.9259[58.4953]
Parameter47:	  881.9432[83.7092]
Parameter48:	    0.5510[3.0076]
Parameter49:	    0.3907[2.6462]
Parameter50:	    0.6326[3.2124]
Parameter51:	    0.4953[2.7353]
Parameter52:	    0.4706[2.7608]
Parameter53:	    0.9328[3.1556]
Parameter54:	    1.2057[3.4619]
Parameter55:	    0.2547[2.6329]
Parameter56:	    2.1153[4.8202]
Parameter57:	    1.9295[4.5054]
Parameter58:	    2.4075[4.4654]
Parameter59:	    0.2464[2.4349]
Parameter60:	    0.5078[2.8614]
Parameter61:	    0.3278[2.6233]
Parameter62:	    0.2839[2.5343]
Parameter63:	    1.2218[3.8172]
Parameter64:	    4.3314[6.2249]
Parameter65:	    0.0449[2.0331]
Parameter66:	    0.9056[3.2781]
Parameter67:	    1.5578[3.7444]
Parameter68:	    0.0423[1.9088]
Parameter69:	    1.9242[4.3794]
Parameter70:	    1.6447[4.1232]
Parameter71:	    0.0743[2.1249]
Parameter72:	    0.8686[3.2392]
Parameter73:	    5.6340[7.0729]
Parameter74:	    0.1109[1.9962]
Parameter75:	    0.2841[2.4961]
Parameter76:	    0.5174[2.9192]
Parameter77:	    0.2981[2.3892]
Parameter78:	    0.2090[2.4350]
Parameter79:	    0.5838[3.0371]
Parameter80:	    3.2654[5.2594]
Parameter81:	    2.3019[4.4291]
Parameter82:	    0.2516[2.2187]
Parameter83:	    0.2070[2.5977]
Parameter84:	    1.4744[3.9207]
Parameter85:	    0.0034[1.9956]
Parameter86:	    0.3885[2.6903]
Parameter87:	    0.2713[2.4860]
Parameter88:	    0.2260[2.3187]
Parameter89:	    1.4156[3.9107]
Parameter90:	    0.6725[2.8963]
Parameter91:	    4.8087[6.2709]
Parameter92:	    2.6034[4.9810]
Parameter93:	    1.0100[3.4521]
Parameter94:	    0.5986[3.1691]
Parameter95:	    0.3809[2.6270]
Parameter96:	    2.8276[4.9683]
Parameter97:	    1.2327[3.6480]
Parameter98:	    1.1935[3.6048]
Parameter99:	    0.7957[3.1936]
Parameter100:	   10.1808[9.1379]
Parameter101:	    0.7092[3.1150]
Parameter102:	    0.6575[2.8652]
Parameter103:	   16.8014[12.0466]
Interaction Effects
Parameters0&1:	    1.4263[2.7307]
Parameters0&2:	    1.1796[2.6924]
Parameters0&3:	    0.9678[2.2245]
Parameters0&4:	    0.5063[1.8034]
Parameters0&5:	    1.5644[2.7550]
Parameters0&6:	    0.5560[2.0019]
Parameters0&7:	    1.0170[2.4233]
Parameters0&8:	    0.4901[2.0048]
Parameters0&9:	    0.5957[2.0686]
Parameters0&10:	    0.8901[2.2432]
Parameters0&11:	    1.4850[2.6222]
Parameters0&12:	    1.3631[2.5314]
Parameters0&13:	    0.5203[2.0481]
Parameters0&14:	    0.4712[1.8011]
Parameters0&15:	    1.4036[2.6322]
Parameters0&16:	    1.8197[2.8914]
Parameters0&17:	    1.5500[2.8850]
Parameters0&18:	    0.5077[2.0078]
Parameters0&19:	    0.6522[2.1265]
Parameters0&20:	    1.6026[3.0673]
Parameters0&21:	    0.1672[1.4418]
Parameters0&22:	    1.0836[2.5645]
Parameters0&23:	    0.3302[1.6342]
Parameters0&24:	    0.5046[1.9710]
Parameters0&25:	    0.6919[2.0991]
Parameters0&26:	    0.8589[2.3464]
Parameters0&27:	    0.4704[1.8857]
Parameters0&28:	    0.4634[1.7020]
Parameters0&29:	    0.6114[1.9870]
Parameters0&30:	    1.2030[2.6981]
Parameters0&31:	    1.3719[2.6884]
Parameters0&32:	    0.0815[1.2488]
Parameters0&33:	    1.5542[2.9637]
Parameters0&34:	    4.1014[4.3260]
Parameters0&35:	    0.5673[1.8819]
Parameters0&36:	    0.3970[1.9919]
Parameters0&37:	    0.7215[2.0536]
Parameters0&38:	    0.4519[1.9126]
Parameters0&39:	    1.1410[2.3037]
Parameters0&40:	    1.2726[2.3968]
Parameters0&41:	    0.8440[2.4527]
Parameters0&42:	    0.6880[2.1446]
Parameters0&43:	    1.4365[2.5967]
Parameters0&44:	    0.5960[1.9419]
Parameters0&45:	    3.1019[3.6964]
Parameters0&46:	    0.6297[2.0273]
Parameters0&47:	    0.3947[1.7769]
Parameters0&48:	    0.7844[2.3567]
Parameters0&49:	    2.2367[3.1223]
Parameters0&50:	    0.6430[2.0171]
Parameters0&51:	    0.8306[2.2112]
Parameters0&52:	    2.7778[3.5338]
Parameters0&53:	    1.6470[2.7860]
Parameters0&54:	    0.4342[1.8072]
Parameters0&55:	    0.2114[1.7885]
Parameters0&56:	    1.0956[2.4929]
Parameters0&57:	    2.9216[3.8842]
Parameters0&58:	    0.3680[1.6179]
Parameters0&59:	    0.6516[2.1080]
Parameters0&60:	    1.0154[2.3391]
Parameters0&61:	    0.4721[1.8796]
Parameters0&62:	    0.7461[2.5613]
Parameters0&63:	    0.9030[2.3084]
Parameters0&64:	    0.2784[1.5742]
Parameters0&65:	    2.6897[3.3644]
Parameters0&66:	    1.9778[2.9697]
Parameters0&67:	    0.5292[2.0182]
Parameters0&68:	    0.2826[1.5184]
Parameters0&69:	    1.7998[3.0581]
Parameters0&70:	    0.8302[2.1444]
Parameters0&71:	    1.4317[2.9117]
Parameters0&72:	    0.2720[1.5525]
Parameters0&73:	    0.4204[1.7973]
Parameters0&74:	    0.3966[1.7368]
Parameters0&75:	    1.1602[2.5381]
Parameters0&76:	    1.2174[2.5799]
Parameters0&77:	    0.2798[1.7973]
Parameters0&78:	    0.3843[1.8274]
Parameters0&79:	    1.3261[2.5846]
Parameters0&80:	    1.9287[2.9894]
Parameters0&81:	    1.2827[2.6148]
Parameters0&82:	    1.2320[2.5448]
Parameters0&83:	    2.9235[3.6754]
Parameters0&84:	    0.4228[1.8067]
Parameters0&85:	    0.8957[2.1787]
Parameters0&86:	    1.2009[2.3012]
Parameters0&87:	    1.5961[2.9039]
Parameters0&88:	    1.9928[3.2444]
Parameters0&89:	    0.4405[1.7184]
Parameters0&90:	    0.1934[1.5311]
Parameters0&91:	    0.7610[2.1360]
Parameters0&92:	    1.6535[2.8696]
Parameters0&93:	    2.7019[3.6089]
Parameters0&94:	    0.1546[1.6376]
Parameters0&95:	    1.3872[2.6396]
Parameters0&96:	    0.9618[2.5091]
Parameters0&97:	    0.2452[1.6798]
Parameters0&98:	    1.9440[3.0142]
Parameters0&99:	    0.7883[2.4304]
Parameters0&100:	    1.3746[2.7101]
Parameters0&101:	    1.3903[2.6069]
Parameters0&102:	    0.1740[1.7400]
Parameters0&103:	    0.4655[1.9572]
Parameters1&2:	    0.5491[2.0082]
Parameters1&3:	    1.2012[2.6073]
Parameters1&4:	    1.2881[2.7630]
Parameters1&5:	    0.8008[2.1506]
Parameters1&6:	    0.2368[1.7641]
Parameters1&7:	    0.8761[2.1319]
Parameters1&8:	    1.0187[2.1978]
Parameters1&9:	    0.1615[1.7014]
Parameters1&10:	    1.1564[2.3742]
Parameters1&11:	    0.1162[1.5252]
Parameters1&12:	    0.2729[1.8823]
Parameters1&13:	    1.9479[3.0804]
Parameters1&14:	    0.2997[1.7164]
Parameters1&15:	    1.6970[2.9986]
Parameters1&16:	    0.2468[1.6687]
Parameters1&17:	    2.0207[2.9361]
Parameters1&18:	    0.2548[1.5116]
Parameters1&19:	    0.3108[1.6691]
Parameters1&20:	    0.9873[2.2444]
Parameters1&21:	    1.1355[2.4211]
Parameters1&22:	    0.9217[2.3895]
Parameters1&23:	    2.2193[3.1308]
Parameters1&24:	    0.6281[2.1027]
Parameters1&25:	    1.5406[2.5665]
Parameters1&26:	    0.5460[2.0325]
Parameters1&27:	    1.1926[2.6443]
Parameters1&28:	    0.3225[1.5599]
Parameters1&29:	    1.8726[3.0795]
Parameters1&30:	    0.6736[1.9230]
Parameters1&31:	    1.4817[2.7243]
Parameters1&32:	    0.7120[2.0261]
Parameters1&33:	    0.5161[1.8766]
Parameters1&34:	    0.9031[2.4134]
Parameters1&35:	    0.3678[1.9352]
Parameters1&36:	    1.4503[2.6996]
Parameters1&37:	    0.4905[1.8539]
Parameters1&38:	    0.8150[2.2168]
Parameters1&39:	    0.3691[1.6848]
Parameters1&40:	    0.8734[2.1134]
Parameters1&41:	    2.1552[3.1629]
Parameters1&42:	    1.8710[3.0259]
Parameters1&43:	    0.4424[1.8295]
Parameters1&44:	    0.0788[1.6196]
Parameters1&45:	    1.1461[2.6130]
Parameters1&46:	    0.5810[1.8976]
Parameters1&47:	    0.9939[2.3844]
Parameters1&48:	    0.2858[1.6828]
Parameters1&49:	    1.9167[3.2070]
Parameters1&50:	    1.3185[2.7796]
Parameters1&51:	    0.1042[1.3880]
Parameters1&52:	    1.7729[2.8759]
Parameters1&53:	    2.2457[3.2503]
Parameters1&54:	    0.7367[2.0274]
Parameters1&55:	    1.4072[2.7108]
Parameters1&56:	    1.1896[2.5111]
Parameters1&57:	    0.5860[1.8852]
Parameters1&58:	    1.4008[2.6888]
Parameters1&59:	    0.8550[2.1543]
Parameters1&60:	    0.3433[1.7466]
Parameters1&61:	    0.9550[2.4291]
Parameters1&62:	    0.6620[2.1930]
Parameters1&63:	    0.9138[2.4179]
Parameters1&64:	    1.7339[3.2037]
Parameters1&65:	    0.4981[2.0949]
Parameters1&66:	    0.8120[2.2855]
Parameters1&67:	    0.9995[2.3412]
Parameters1&68:	    0.3803[1.6204]
Parameters1&69:	    0.6794[2.1255]
Parameters1&70:	    1.2755[2.4842]
Parameters1&71:	    0.4161[1.9810]
Parameters1&72:	    0.3314[1.7943]
Parameters1&73:	    1.2358[2.7008]
Parameters1&74:	    0.6657[2.1536]
Parameters1&75:	    0.4535[1.7823]
Parameters1&76:	    0.0832[1.3780]
Parameters1&77:	    0.7056[2.1913]
